Driver Full Name,Season,Race ID,Track Name,Race,Start,Finish,Wins,Top 5s,Top 10s,DNFs,Laps Led,Points,Playoff Points Earned,Laps Completed,Interval
Kyle Larson,2023,4,Atlanta Motor Speedway,Atlanta2,8,36,0,0,0,1,4,10,0,111,-74 laps
William Byron,2023,2,Watkins Glen International,Watkins Glen,2,1,1,1,1,0,66,59,6,90,0 seconds
Denny Hamlin,2023,2,Watkins Glen International,Watkins Glen,1,2,0,1,1,0,3,52,0,90,2.632 seconds
Christopher Bell,2023,2,Watkins Glen International,Watkins Glen,7,3,0,1,1,0,0,43,0,90,3.118 seconds
Ty Gibbs,2023,2,Watkins Glen International,Watkins Glen,4,5,0,1,1,0,0,47,0,90,4.482 seconds
Martin Truex Jr,2023,2,Watkins Glen International,Watkins Glen,19,6,0,0,1,0,0,31,0,90,5.047 seconds
Tyler Reddick,2023,2,Watkins Glen International,Watkins Glen,8,8,0,0,1,0,0,30,0,90,13.773 seconds
Ryan Blaney,2023,2,Watkins Glen International,Watkins Glen,23,9,0,0,1,0,0,28,0,90,17.32 seconds
Joey Logano,2023,2,Watkins Glen International,Watkins Glen,11,10,0,0,1,0,0,27,0,90,21.626 seconds
Brad Keselowski,2023,2,Watkins Glen International,Watkins Glen,24,15,0,0,0,0,0,22,0,90,24.226 seconds
Austin Cindric,2023,2,Watkins Glen International,Watkins Glen,17,16,0,0,0,0,0,21,0,90,27.402 seconds
Daniel Suárez,2023,2,Watkins Glen International,Watkins Glen,14,22,0,0,0,0,0,15,0,90,32.08 seconds
Alex Bowman,2023,2,Watkins Glen International,Watkins Glen,18,23,0,0,0,0,0,14,0,90,38.476 seconds
Kyle Larson,2023,2,Watkins Glen International,Watkins Glen,5,26,0,0,0,0,0,23,0,90,42.767 seconds
Chase Elliott,2023,2,Watkins Glen International,Watkins Glen,15,32,0,0,0,0,0,9,0,89,-1 lap
Harrison Burton,2023,2,Watkins Glen International,Watkins Glen,32,33,0,0,0,0,0,4,0,89,-1 lap
Chase Briscoe,2023,2,Watkins Glen International,Watkins Glen,26,35,0,0,0,0,0,2,0,83,-7 laps
Denny Hamlin,2023,2,Bristol Motor Speedway,Bristol,2,1,1,1,1,0,142,47,5,500,0 seconds
Kyle Larson,2023,2,Bristol Motor Speedway,Bristol,36,2,0,1,1,0,20,46,0,500,2.437 seconds
Christopher Bell,2023,2,Bristol Motor Speedway,Bristol,1,3,0,1,1,0,187,54,2,500,5.098 seconds
Ty Gibbs,2023,2,Bristol Motor Speedway,Bristol,8,5,0,1,1,0,102,42,0,500,9.237 seconds
Chase Elliott,2023,2,Bristol Motor Speedway,Bristol,7,7,0,0,1,0,0,31,0,500,15.325 seconds
Brad Keselowski,2023,2,Bristol Motor Speedway,Bristol,6,8,0,0,1,0,0,33,0,500,15.795 seconds
William Byron,2023,2,Bristol Motor Speedway,Bristol,3,9,0,0,1,0,0,38,0,500,16.113 seconds
Alex Bowman,2023,2,Bristol Motor Speedway,Bristol,13,13,0,0,0,0,0,24,0,499,-1 lap
Tyler Reddick,2023,2,Bristol Motor Speedway,Bristol,12,15,0,0,0,0,0,28,0,499,-1 lap
Martin Truex Jr,2023,2,Bristol Motor Speedway,Bristol,5,19,0,0,0,0,0,20,0,498,-2 laps
Daniel Suárez,2023,2,Bristol Motor Speedway,Bristol,24,21,0,0,0,0,0,16,0,498,-2 laps
Ryan Blaney,2023,2,Bristol Motor Speedway,Bristol,11,22,0,0,0,0,0,15,0,498,-2 laps
Chase Briscoe,2023,2,Bristol Motor Speedway,Bristol,14,27,0,0,0,0,0,10,0,495,-5 laps
Harrison Burton,2023,2,Bristol Motor Speedway,Bristol,32,28,0,0,0,0,0,9,0,495,-5 laps
Austin Cindric,2023,2,Bristol Motor Speedway,Bristol,29,32,0,0,0,0,0,5,0,488,-12 laps
Joey Logano,2023,2,Bristol Motor Speedway,Bristol,28,34,0,0,0,1,0,3,0,262,-238 laps
Daniel Suárez,2024,5,Atlanta Motor Speedway,Atlanta1,23,1,1,1,1,0,9,47,5,260,0 seconds
Ryan Blaney,2024,5,Atlanta Motor Speedway,Atlanta1,6,2,0,1,1,0,31,52,0,260,0.003 seconds
Austin Cindric,2024,5,Atlanta Motor Speedway,Atlanta1,8,4,0,1,1,0,32,43,1,260,0.077 seconds
Ty Gibbs,2024,5,Atlanta Motor Speedway,Atlanta1,25,10,0,0,1,0,0,27,0,260,0.243 seconds
Harrison Burton,2024,5,Atlanta Motor Speedway,Atlanta1,16,11,0,0,0,0,0,29,0,260,0.42 seconds
Martin Truex Jr,2024,5,Atlanta Motor Speedway,Atlanta1,12,12,0,0,0,0,9,36,0,260,0.44 seconds
Chase Elliott,2024,5,Atlanta Motor Speedway,Atlanta1,28,15,0,0,0,0,0,23,0,260,0.642 seconds
William Byron,2024,5,Atlanta Motor Speedway,Atlanta1,11,17,0,0,0,0,0,22,0,260,0.757 seconds
Denny Hamlin,2024,5,Atlanta Motor Speedway,Atlanta1,13,23,0,0,0,0,15,14,0,259,-1 lap
Alex Bowman,2024,5,Atlanta Motor Speedway,Atlanta1,17,27,0,0,0,0,0,10,0,255,-5 laps
Joey Logano,2024,5,Atlanta Motor Speedway,Atlanta1,2,28,0,0,0,0,27,9,0,252,-8 laps
Tyler Reddick,2024,5,Atlanta Motor Speedway,Atlanta1,19,30,0,0,0,0,0,7,0,243,-17 laps
Chase Briscoe,2024,5,Atlanta Motor Speedway,Atlanta1,9,31,0,0,0,1,0,8,0,239,-21 laps
Kyle Larson,2024,5,Atlanta Motor Speedway,Atlanta1,5,32,0,0,0,1,17,21,0,222,-38 laps
Brad Keselowski,2024,5,Atlanta Motor Speedway,Atlanta1,24,33,0,0,0,1,2,8,0,218,-42 laps
Christopher Bell,2024,5,Atlanta Motor Speedway,Atlanta1,22,34,0,0,0,1,0,3,0,148,-112 laps
Denny Hamlin,2024,3,Bristol Motor Speedway,Bristol1,3,1,1,1,1,0,163,44,5,500,0 seconds
Martin Truex Jr,2024,3,Bristol Motor Speedway,Bristol1,11,2,0,1,1,0,54,44,0,500,1.083 seconds
Brad Keselowski,2024,3,Bristol Motor Speedway,Bristol1,17,3,0,1,1,0,1,50,0,500,7.284 seconds
